"Timestamp","CPU_Usage","Mem_Avail_MB","Disk_BytesPerSec","FileIO_BytesPerSec"
"2025-05-08_14-45-06","0.47","673.00","0.00","0.00"
"2025-05-08_14-45-20","0.08","673.00","0.00","0.00"
"2025-05-08_14-45-34","0.32","673.00","0.00","0.00"
"2025-05-08_14-45-48","0.00","673.00","56,959.28","0.00"
"2025-05-08_14-46-02","0.00","674.00","0.00","0.00"
"2025-05-08_14-46-17","0.31","675.00","0.00","0.00"
"2025-05-08_14-46-31","0.99","675.00","0.00","0.00"
"2025-05-08_14-46-45","0.00","687.00","61,291.60","0.00"
"2025-05-08_14-46-59","5.48","687.00","26,784.50","0.00"
"2025-05-08_14-47-13","1.03","687.00","65,541.64","0.00"
"2025-05-08_14-47-27","0.00","687.00","0.00","0.00"
"2025-05-08_14-47-41","0.04","688.00","0.00","587.62"
"2025-05-08_14-47-55","0.00","688.00","0.00","0.00"
"2025-05-08_14-48-09","1.54","688.00","61,291.03","0.00"
"2025-05-08_14-48-23","0.00","688.00","12,122.44","0.00"
"2025-05-08_14-48-37","0.00","688.00","0.00","0.00"
"2025-05-08_14-48-51","0.11","688.00","2,201,278.12","2,358.69"
"2025-05-08_14-49-05","0.00","688.00","295,067.81","10,455.89"
"2025-05-08_14-49-19","0.00","657.00","0.00","0.00"
"2025-05-08_14-49-33","0.02","658.00","56,689.48","0.00"
"2025-05-08_14-49-47","2.45","667.00","283,648.65","0.00"
"2025-05-08_14-50-02","0.00","668.00","0.00","411.40"
"2025-05-08_14-50-16","0.00","657.00","97,187.04","7,852.62"
"2025-05-08_14-50-30","1.35","667.00","0.00","0.00"
"2025-05-08_14-50-44","0.00","665.00","5,976,742.53","656,336.00"
"2025-05-08_14-50-59","100.00","556.00","1,372,296.13","1,134,678.46"
"2025-05-08_14-51-13","2.38","529.00","142,129.99","122,120.73"
"2025-05-08_14-51-27","2.66","509.00","59,244.82","122,715.57"
"2025-05-08_14-51-41","2.39","519.00","37,858,001.69","9,403,871.77"
